plan,source_image,output_image,class_id,class_name,prompt,seed,accepted,background_pixel_diff,background_ssim,lpips,bbox_pixel_diff,verification_passed,verification_fail_reason,dry_run
uniform,/content/data/processed_pilot/base/images/train/01a9c84cf8d5523da74a5a3e3ddc535f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/01a9c84cf8d5523da74a5a3e3ddc535f_uniform_c1_0000_s100042.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100042,False,6.531939506530762,0.9615006183952424,0.102319985628128,7.098148345947266,False,background_unchanged,False
uniform,/content/data/processed_pilot/base/images/train/01eec1ab0a324ad589c8966ef232abc5.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/01eec1ab0a324ad589c8966ef232abc5_uniform_c1_0001_s100043.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100043,False,7.303449153900146,0.9011867338241124,0.1347458958625793,6.733550071716309,False,background_unchanged,False
uniform,/content/data/processed_pilot/base/images/train/05d59a12f6323d082b1cfd07a9673852.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/05d59a12f6323d082b1cfd07a9673852_uniform_c1_0002_s100044.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100044,True,15.353181838989258,0.8573639122148766,0.2808067798614502,5.638886451721191,True,,False
uniform,/content/data/processed_pilot/base/images/train/05ef1b83fab31eb6a2547c1b5c901873.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/05ef1b83fab31eb6a2547c1b5c901873_uniform_c1_0003_s100045.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100045,True,13.281307220458984,0.7358757295723752,0.1826748996973037,11.217340469360352,True,,False
uniform,/content/data/processed_pilot/base/images/train/0819904ba018364295a314dc6d1dce9d.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0819904ba018364295a314dc6d1dce9d_uniform_c1_0004_s100046.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100046,True,15.330769538879396,0.7535999505810655,0.1017884463071823,6.571566581726074,True,,False
uniform,/content/data/processed_pilot/base/images/train/09c31c9c8acf27ece476a67280b27a8f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/09c31c9c8acf27ece476a67280b27a8f_uniform_c1_0005_s100047.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100047,True,15.202075958251951,0.8808659606576658,0.3398272693157196,13.716195106506348,True,,False
uniform,/content/data/processed_pilot/base/images/train/0a89565a88041220e21da1029da7996e.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0a89565a88041220e21da1029da7996e_uniform_c1_0006_s100048.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100048,True,31.149805068969727,0.4079846366693935,0.3157578706741333,6.158344268798828,True,,False
uniform,/content/data/processed_pilot/base/images/train/0b1163fd37945dd5e787a7e9c6e4afb8.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/0b1163fd37945dd5e787a7e9c6e4afb8_uniform_c1_0007_s100049.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100049,False,2.424528121948242,0.9929855337471798,0.0136049119755625,4.720373153686523,False,background_unchanged,False
uniform,/content/data/processed_pilot/base/images/train/0c87d94036b714a469ce88b5a56381df.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0c87d94036b714a469ce88b5a56381df_uniform_c1_0008_s100050.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100050,True,15.261155128479004,0.6678845303441645,0.0300543643534183,7.633895397186279,True,,False
uniform,/content/data/processed_pilot/base/images/train/0cd8e3527ff8843c0abed0f2b4237b2f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/0cd8e3527ff8843c0abed0f2b4237b2f_uniform_c1_0009_s100051.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100051,False,2.7823054790496826,0.9909407114670576,0.0097366832196712,3.8947370052337646,False,background_unchanged,False
uniform,/content/data/processed_pilot/base/images/train/0d4df0394b30ef029ebdab78adb0497b.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0d4df0394b30ef029ebdab78adb0497b_uniform_c1_0010_s100052.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100052,True,23.906494140625,0.4883826635722751,0.1652747839689254,7.636656761169434,True,,False
uniform,/content/data/processed_pilot/base/images/train/0d6d9ddd77e8e06d0ad3f90d86562b77.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0d6d9ddd77e8e06d0ad3f90d86562b77_uniform_c1_0011_s100053.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100053,True,13.478925704956056,0.3663765098126342,0.078134685754776,10.299466133117676,True,,False
uniform,/content/data/processed_pilot/base/images/train/0df039260ed7ea35241dae4fb0ba8ce3.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0df039260ed7ea35241dae4fb0ba8ce3_uniform_c1_0012_s100054.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100054,True,10.159223556518556,0.9812304169615632,0.219268336892128,29.676700592041016,True,,False
uniform,/content/data/processed_pilot/base/images/train/0e716f31bca23b339e850909cd87f3ee.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0e716f31bca23b339e850909cd87f3ee_uniform_c1_0013_s100055.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100055,True,18.64488983154297,0.746754073335368,0.1023012101650238,21.62348747253418,True,,False
uniform,/content/data/processed_pilot/base/images/train/10b5be01a0076494be580195fba068b9.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/10b5be01a0076494be580195fba068b9_uniform_c1_0014_s100056.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100056,True,16.051467895507812,0.7311382126871435,0.0897174626588821,4.0998406410217285,True,,False
uniform,/content/data/processed_pilot/base/images/train/123a1d94a3f5fb17755c913227e22ce6.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/123a1d94a3f5fb17755c913227e22ce6_uniform_c1_0015_s100057.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100057,True,16.957304000854492,0.8071920496870142,0.2642491161823272,23.411590576171875,True,,False
uniform,/content/data/processed_pilot/base/images/train/1404c8bff2966732e6a92d5540b3eee0.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/1404c8bff2966732e6a92d5540b3eee0_uniform_c1_0016_s100058.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100058,True,17.863866806030273,0.7362582112461892,0.2587047815322876,5.986047267913818,True,,False
